Lexeme               Token               
-----------------------------------------
output               0xc820148120        
n                    0xc82014a270        
example              0xc820015ce0        
f                    0xc820148f90        
g                    0xc8201491a0        
h                    0xc8201493b0        
j                    0xc8201497d0        
l                    0xc820149bf0        
m                    0xc820149e00        
b                    0xc820148720        
d                    0xc820148b70        
e                    0xc820148d80        
i                    0xc8201495c0        
o                    0xc82014b080        
input                0xc820015ef0        
a                    0xc820148510        
k                    0xc8201499e0        
