Lexeme               Token               
-----------------------------------------
f                    0xc8201485d0        
l                    0xc820148b70        
a                    0xc8201480f0        
d                    0xc8201483f0        
e                    0xc8201484e0        
g                    0xc8201486c0        
h                    0xc8201487b0        
i                    0xc8201488a0        
j                    0xc820148990        
m                    0xc820148c60        
b                    0xc8201481e0        
input                0xc82000be30        
k                    0xc820148a80        
o                    0xc820149380        
example              0xc82000bd40        
n                    0xc820148e70        
output               0xc82000bf20        
